Loading the initial atomic configuration from "equilpart2.data"
Number of steps: 200000
Boundary: periodic periodic free
System dimensions: 23.3347 23.3347 115.6 A
The total number of atoms: 1280
Rigid: khist = 3
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.004000 ps
Handlers:
Berendsen thermostat: T = 138.000000 K, tau = 2.000000 ps

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
173000 693.00401 -45.46234323 20.39677341 -65.85911664 136.9752926 77969261.69
174000 697.00401 -45.30556506 20.821978 -66.12754306 139.8307699 72045074.31
175000 701.00401 -45.40180565 20.35318796 -65.75499361 136.6825929 78408357.23
176000 705.00401 -45.35915928 20.6336935 -65.99285278 138.5663382 72893088.5
177000 709.00401 -45.2619972 20.4259154 -65.68791259 137.1709967 79438163.62
178000 713.00401 -45.411668 19.88848891 -65.30015691 133.5618891 81837993.39
179000 717.00401 -45.43223325 20.1886224 -65.62085565 135.5774467 79912319.69
180000 721.00401 -45.3694817 20.39299343 -65.76247513 136.949908 75322643.82
181000 725.00401 -45.45339748 20.42894251 -65.88233999 137.1913254 79629250.59
182000 729.00401 -45.34510351 20.83085196 -66.17595547 139.8903633 73762774.41
183000 733.00401 -45.4029361 21.23324831 -66.63618441 142.5926709 68823751.24
184000 737.00401 -45.42236536 20.62278288 -66.04514823 138.4930676 73196290.07
185000 741.00401 -45.362449 20.45917987 -65.82162888 137.3943855 82058192.6
186000 745.00401 -45.59338314 20.47004322 -66.06342636 137.4673387 74650985.19
187000 749.00401 -45.49368226 20.69574998 -66.18943224 138.9830809 74123262.71
188000 753.00401 -45.44917967 21.0433136 -66.49249326 141.3171573 67833793.23
189000 757.00401 -45.44722355 20.12025186 -65.56747541 135.1183018 80501253.79
190000 761.00401 -45.42344228 20.89823803 -66.32168031 140.3428969 73991942.6
191000 765.00401 -45.46903592 20.39175927 -65.86079519 136.9416199 77726105.28
192000 769.00401 -45.48598443 20.60625324 -66.09223767 138.3820622 73975336.99
193000 773.00401 -45.47625226 20.70408536 -66.18033762 139.0390574 75443588.05
194000 777.00401 -45.52959335 20.84306364 -66.37265699 139.9723712 68236522.55
195000 781.00401 -45.40093831 20.6876425 -66.08858082 138.9286348 74465635.53
196000 785.00401 -45.45069889 20.76229949 -66.21299837 139.4299966 74420581.28
197000 789.00401 -45.33907479 20.60547782 -65.94455262 138.3768549 77140896
198000 793.00401 -45.50449105 20.59378185 -66.0982729 138.2983101 76451877.17
199000 797.00401 -45.54734672 20.65155401 -66.19890072 138.6862812 73265976.49
200000 801.00401 -45.41191273 20.04152143 -65.45343415 134.5895846 79498631.58
